,log2FoldChange,padj,contrasted_with
ENSG00000168386,9.053517351094875,1.950252116122273e-56,H1ESC
ENSG00000283064,3.5288103470560257,0.009563402694141509,H1ESC
ENSG00000254337,4.603803129799611,0.04455554664977325,H1ESC
ENSG00000178719,2.115351390907191,3.219790190944339e-36,H1ESC
ENSG00000157551,2.929991359384223,0.006398091656588266,H1ESC
ENSG00000003436,2.919279147777578,1.2675276320632354e-60,H1ESC
ENSG00000105520,3.250074083871073,3.5553357178597426e-58,H1ESC
ENSG00000214960,2.662650867627765,5.956000308097921e-12,H1ESC
ENSG00000137070,2.157754631937275,1.498479222962853e-27,H1ESC
ENSG00000119943,2.1795713515280037,6.518985818421026e-20,H1ESC
ENSG00000127241,4.842381727505495,7.644394446987229e-10,H1ESC
ENSG00000197980,3.129766278386598,0.01717520788670492,H1ESC
ENSG00000143786,2.6469514100523135,2.763052107032348e-15,H1ESC
ENSG00000158863,2.7291922609010375,3.754187948766753e-58,H1ESC
ENSG00000152291,2.508050865349961,4.525218891494987e-137,H1ESC
ENSG00000133110,7.534813376603439,1.1473180746700597e-11,H1ESC
ENSG00000153071,5.957950169343634,2.356529113141092e-226,H1ESC
ENSG00000145623,4.064661779380531,4.2151628185838093e-137,H1ESC
ENSG00000111145,2.5512057828980588,8.387857254297155e-60,H1ESC
ENSG00000122359,2.194026315920438,1.8201609750193988e-33,H1ESC
ENSG00000180628,3.9908297098965124,8.401778477354115e-121,H1ESC
ENSG00000205683,5.468457863192294,1.197942535454429e-24,H1ESC
ENSG00000100647,2.5708276094270186,3.05058821687352e-37,H1ESC
ENSG00000172985,2.8373544715923593,6.091805389787918e-17,H1ESC
ENSG00000115183,2.1634737939954176,1.3038218810326136e-44,H1ESC
ENSG00000067066,8.149999105973409,1.162255944244154e-81,H1ESC
ENSG00000187079,2.2050716562429855,2.7896910012952496e-79,H1ESC
ENSG00000118985,4.399058009327145,4.1802466484144055e-113,H1ESC
ENSG00000170624,5.649030714746115,6.986360372738672e-29,H1ESC
ENSG00000110841,2.007850050510168,7.493745671534612e-54,H1ESC
ENSG00000134996,2.2453683213505884,1.007962027355809e-47,H1ESC
ENSG00000231131,11.053832518151504,2.797600640117993e-05,H1ESC
ENSG00000128805,3.235167780304426,2.9873772830837736e-57,H1ESC
ENSG00000225830,2.7068762209023216,3.29576416294464e-27,H1ESC
ENSG00000131018,4.909522489152489,6.726416145961762e-267,H1ESC
ENSG00000137936,2.4824165710027786,3.706986762350318e-15,H1ESC
ENSG00000232600,6.267705045847676,0.012585479600076799,H1ESC
ENSG00000128284,5.169890370954515,0.00036537984999869766,H1ESC
ENSG00000062725,2.060934245854604,1.18776723379583e-51,H1ESC
ENSG00000166825,9.117684809830992,1.6606489620501823e-237,H1ESC
ENSG00000152377,3.4652077573948334,1.7464034881056787e-74,H1ESC
ENSG00000113621,2.2220278978405776,3.6711906194654726e-52,H1ESC
ENSG00000135404,2.619090280996675,4.6870593992106606e-138,H1ESC
ENSG00000164099,3.9519101291505443,1.4181695986259214e-74,H1ESC
ENSG00000154447,2.3652377997796403,1.4110372180036332e-76,H1ESC
ENSG00000143369,5.823942908913634,1.8058155467331786e-79,H1ESC
ENSG00000081237,3.022488540932093,0.00013636858551369907,H1ESC
ENSG00000155816,5.551575594026786,3.225189236702466e-171,H1ESC
ENSG00000142327,2.439539031308601,9.385571656018481e-58,H1ESC
ENSG00000149090,6.0420844144818115,1.3178061742780716e-184,H1ESC
ENSG00000121281,3.4762335469612147,4.919529412072735e-72,H1ESC
ENSG00000102781,2.9561552372729225,1.147545922557575e-56,H1ESC
ENSG00000112902,3.383366897272339,1.6986790619059065e-89,H1ESC
ENSG00000198053,3.9906611264319287,1.1300866342621625e-76,H1ESC
ENSG00000145147,3.7584802120800216,1.662246227249311e-165,H1ESC
ENSG00000203778,2.047437644477791,1.4560077266926805e-18,H1ESC
ENSG00000013016,2.7373668803735933,3.857355311411558e-65,H1ESC
ENSG00000115414,5.470435120513722,4.337105365080633e-104,H1ESC
ENSG00000135905,6.48491273576012,1.3181798409527587e-184,H1ESC
ENSG00000135074,2.843528126530119,1.140160696777884e-24,H1ESC
ENSG00000189223,7.0752157547681325,1.1338009400034875e-06,H1ESC
ENSG00000164543,2.96530903895743,2.2462103530753762e-61,H1ESC
ENSG00000146006,4.104296430916664,0.003722351784273687,H1ESC
ENSG00000109320,2.4112404899110182,1.2610411574964703e-43,H1ESC
ENSG00000162733,7.426623305807688,0.0,H1ESC
ENSG00000166250,3.36095742107739,1.7568992274458251e-56,H1ESC
ENSG00000197702,4.774142473934004,4.768120245396331e-148,H1ESC
ENSG00000154175,6.194120689676642,8.224867741611273e-28,H1ESC
ENSG00000157227,2.2937242197372876,1.158502111877494e-88,H1ESC
ENSG00000186575,2.0390477223324037,2.1321999315492288e-86,H1ESC
ENSG00000250697,6.09675037750336,0.014521877241838337,H1ESC
ENSG00000139436,2.48344747659884,1.6082700907370256e-66,H1ESC
ENSG00000169019,2.8152428793513473,9.853538810118869e-57,H1ESC
ENSG00000138675,17.303447080500582,4.8130493101244865e-11,H1ESC
ENSG00000281501,2.6032651968145197,2.0518265045578525e-07,H1ESC
ENSG00000137312,2.1095281217164867,3.550443629197367e-41,H1ESC
ENSG00000165533,2.4640685316189623,3.109396328378673e-50,H1ESC
ENSG00000134030,2.7353515493459213,2.5114726358097616e-78,H1ESC
ENSG00000141469,3.2136432977336122,0.0038522062374408113,H1ESC
ENSG00000159899,2.037371716779585,2.476671171632587e-49,H1ESC
ENSG00000233237,2.054935495929161,7.427883895675848e-09,H1ESC
ENSG00000164741,5.155203648785062,2.34382564423868e-241,H1ESC
ENSG00000100228,2.7457061588412426,1.3779179177868906e-28,H1ESC
ENSG00000070081,2.4679872834466723,2.909424568243692e-44,H1ESC
ENSG00000196923,2.648369262190399,1.068033937530672e-140,H1ESC
ENSG00000183775,4.322857264105878,6.498880398847367e-26,H1ESC
ENSG00000092607,5.141668361270282,3.177001090065154e-26,H1ESC
ENSG00000141696,2.031811995437887,2.9760089858255117e-28,H1ESC
ENSG00000144455,2.1249494789716947,1.306649646136689e-47,H1ESC
ENSG00000162302,2.619148679145485,2.555199842165663e-35,H1ESC
ENSG00000166848,2.9008491251957698,2.3776714234592904e-75,H1ESC
ENSG00000197536,2.472656373722674,0.00017839889654415028,H1ESC
ENSG00000164220,9.61962331808927,1.2216156185209291e-58,H1ESC
ENSG00000279253,2.988071720714261,2.5750027766812133e-12,H1ESC
ENSG00000111424,5.301753380771451,2.0406401185030504e-50,H1ESC
ENSG00000160360,2.173247013490954,9.32690275313108e-75,H1ESC
ENSG00000151892,2.825352901102902,6.813295221465394e-14,H1ESC
ENSG00000112186,3.4590423224188154,4.625323715247018e-93,H1ESC
ENSG00000111897,2.7567203627487857,3.411789302615194e-55,H1ESC
ENSG00000116678,2.8703602431783217,6.403744227191084e-24,H1ESC
ENSG00000106479,2.0530971017974644,1.6364351203335978e-11,H1ESC
ENSG00000250072,3.7808231797386602,0.007162838219332943,H1ESC
ENSG00000135090,2.0982087984924305,8.77524298508653e-47,H1ESC
ENSG00000246203,3.5055721148470447,0.0002211334815432282,H1ESC
ENSG00000116604,2.002736466519661,4.679318024787524e-35,H1ESC
ENSG00000147526,2.9328201502894533,3.9814195126788566e-49,H1ESC
ENSG00000063660,4.163302763716902,1.3086406867375538e-202,H1ESC
ENSG00000167460,2.0208002698836025,1.1649732025605451e-37,H1ESC
ENSG00000279415,2.0685359033561728,9.846910303124604e-06,H1ESC
ENSG00000005469,2.4561744619497032,1.423529306647452e-38,H1ESC
ENSG00000171867,5.477588959874677,9.528376811720963e-67,H1ESC
ENSG00000139173,3.0482362631974538,1.7345597855337872e-24,H1ESC
ENSG00000151726,2.280655729083049,3.7865459665401714e-51,H1ESC
ENSG00000162852,2.0130222529391255,2.7723675379222023e-39,H1ESC
ENSG00000253368,2.576438586254768,3.32980271830041e-100,H1ESC
ENSG00000060718,3.4984283810164722,6.303474448712118e-26,H1ESC
ENSG00000100558,3.343913613871786,2.0559351942031733e-15,H1ESC
ENSG00000110090,2.4871421222325023,4.4061958562526574e-23,H1ESC
ENSG00000276851,7.428983126191383,0.004038481540235368,H1ESC
ENSG00000072062,2.0708208381842064,1.1417130446775661e-43,H1ESC
ENSG00000102910,2.042636051805584,4.4161967643048055e-68,H1ESC
ENSG00000201428,2.4520832681099445,0.0018569576743292886,H1ESC
ENSG00000148411,2.070917164657299,1.217192524025174e-48,H1ESC
ENSG00000196639,7.030226708229931,4.581039281526226e-25,H1ESC
ENSG00000232453,5.122440800872832,0.000357067732240555,H1ESC
ENSG00000142166,2.270385507190778,8.392267535402187e-53,H1ESC
ENSG00000149256,3.0860480692566807,8.089475911902522e-23,H1ESC
ENSG00000152229,2.2578347569176147,1.724167335218192e-26,H1ESC
ENSG00000120693,3.8345118745355453,4.061034927240163e-35,H1ESC
ENSG00000155324,3.887468996633494,1.164735360611048e-37,H1ESC
ENSG00000138134,2.983856018970374,1.3419549745957063e-34,H1ESC
ENSG00000118503,2.500625533445636,4.936474124308342e-17,H1ESC
ENSG00000178075,2.4376301086404792,1.619469241481574e-13,H1ESC
ENSG00000134668,4.573694152992184,1.0027402839825572e-108,H1ESC
ENSG00000166741,14.333878543995805,4.7565692448986885e-08,H1ESC
ENSG00000067225,2.1749833316252576,4.219101789888183e-115,H1ESC
ENSG00000225648,2.6154471419897907,1.7332789027650907e-31,H1ESC
ENSG00000106080,2.1700704647544056,5.543271732699075e-48,H1ESC
ENSG00000164187,2.0689370335492794,6.033694464828556e-19,H1ESC
ENSG00000175395,2.9965351722598785,1.1665881735711243e-30,H1ESC
ENSG00000013288,3.5273047648512694,4.395242307937998e-138,H1ESC
ENSG00000146197,6.408465458654216,1.6551600973818431e-99,H1ESC
ENSG00000279170,4.007625003110734,0.005121572462974973,H1ESC
ENSG00000114019,2.731427571692669,5.713436253996468e-77,H1ESC
ENSG00000058262,2.126416632835278,3.603790444840957e-63,H1ESC
ENSG00000151414,6.384592105159971,2.2461419018402896e-206,H1ESC
ENSG00000159461,2.856861680338865,6.663634305480852e-119,H1ESC
ENSG00000169247,5.61225691939064,1.818195916654945e-54,H1ESC
ENSG00000186577,2.795113045736332,7.584535713700373e-34,H1ESC
ENSG00000152952,3.8414520044651352,4.615382908487651e-45,H1ESC
ENSG00000115419,2.5565342902037145,5.98061619233159e-17,H1ESC
ENSG00000139192,3.762867235722298,3.5024464333354706e-13,H1ESC
ENSG00000118508,4.0933620618501765,4.3871977985667135e-125,H1ESC
ENSG00000144118,2.4569326646548184,5.7511145132522446e-64,H1ESC
ENSG00000149577,2.074304113611733,4.984090806491249e-20,H1ESC
ENSG00000135362,2.056540761756111,9.36802988105338e-34,H1ESC
ENSG00000198542,12.70715805583689,2.1056715419305563e-18,H1ESC
ENSG00000250786,2.4700992537600097,1.4641302309599244e-25,H1ESC
ENSG00000161011,2.0521522613441276,8.821507000512542e-24,H1ESC
ENSG00000125843,2.7615110922981287,4.173827612650694e-46,H1ESC
ENSG00000215039,2.924078381157559,1.6823733986317096e-29,H1ESC
ENSG00000122863,3.407984148265775,1.7054436328641574e-99,H1ESC
ENSG00000245067,7.084278993306676,0.005535919320348452,H1ESC
ENSG00000112343,4.59508187217565,1.1143520416122952e-58,H1ESC
ENSG00000065534,4.874355888673747,1.7829351965477416e-146,H1ESC
ENSG00000162618,5.554566030724486,3.7070486062043324e-50,H1ESC
ENSG00000147509,3.820443268710321,1.23745031272913e-11,H1ESC
ENSG00000099940,2.0022844955527543,6.545290141418801e-48,H1ESC
ENSG00000155729,2.265251007615703,1.5192046690409047e-28,H1ESC
ENSG00000110237,3.628997014810594,1.0097250713929401e-132,H1ESC
ENSG00000168807,2.020414956281861,4.130060049434435e-35,H1ESC
ENSG00000278969,2.4463528808722015,0.03617054485164332,H1ESC
ENSG00000152936,5.123115197116598,0.03154701457038611,H1ESC
ENSG00000109452,7.64595753988015,6.315763102627102e-128,H1ESC
ENSG00000119900,2.1609698895305662,2.9517421576885947e-25,H1ESC
ENSG00000177311,4.145707699188217,1.9444450772510582e-250,H1ESC
ENSG00000091986,5.603597203381845,3.3199088186622016e-258,H1ESC
ENSG00000168404,3.19047204593523,2.1583411056288378e-36,H1ESC
ENSG00000106804,3.1980326510431376,5.657951443349551e-13,H1ESC
ENSG00000258938,3.5034933973172735,0.0002096092910698716,H1ESC
ENSG00000188554,2.2086149287368593,7.939306622739273e-57,H1ESC
ENSG00000206538,3.4909270581111715,1.9838177889749397e-82,H1ESC
ENSG00000151116,2.1664326069765902,1.4948672100848838e-27,H1ESC
ENSG00000150281,4.52555658572052,5.0060126303789996e-39,H1ESC
ENSG00000243797,5.4900436302210815,0.024272753217073936,H1ESC
ENSG00000006576,2.1890983564669035,2.086709210002866e-58,H1ESC
ENSG00000139289,2.1050741885392554,5.214224376312149e-24,H1ESC
ENSG00000165806,2.3343498115075283,7.536436711987801e-30,H1ESC
ENSG00000230417,4.8456768989422985,2.608657893853525e-05,H1ESC
ENSG00000162616,3.8613408332497263,2.062234493450609e-24,H1ESC
ENSG00000100243,2.6946911322815748,2.940224556829913e-85,H1ESC
ENSG00000049323,3.70403797099173,2.603086077372595e-103,H1ESC
ENSG00000133816,6.807246819036051,0.0,H1ESC
ENSG00000182718,4.832076544255937,0.0,H1ESC
ENSG00000130513,2.9491625916619864,7.045797014518499e-20,H1ESC
ENSG00000169994,4.273590317357354,5.9284239169140474e-06,H1ESC
ENSG00000188372,2.358276346424681,2.0030181869112662e-09,H1ESC
ENSG00000181722,4.426180980531945,1.4645888841828905e-51,H1ESC
ENSG00000068912,2.3014673198851296,2.3681180879201116e-57,H1ESC
ENSG00000152689,4.735389174674551,1.905886047912179e-10,H1ESC
ENSG00000078098,14.29480028825273,5.2056922015070155e-08,H1ESC
ENSG00000226800,3.6248550952380985,7.18376623580826e-07,H1ESC
ENSG00000229647,7.79868859697297,0.0024352677642938796,H1ESC
ENSG00000213977,2.31756545718341,6.298967402921015e-40,H1ESC
ENSG00000137809,5.381820553691239,1.8000828232559898e-14,H1ESC
ENSG00000084112,2.675714316083785,2.0089840485530553e-65,H1ESC
ENSG00000138347,13.306611470975527,4.639053445152904e-20,H1ESC
ENSG00000116171,2.0489659648081364,1.4487987953953198e-41,H1ESC
ENSG00000120913,2.061934535257353,3.852613753328265e-29,H1ESC
ENSG00000268061,2.240017761516264,0.00021569864685662627,H1ESC
ENSG00000127863,3.9776222286135914,8.413147381491929e-40,H1ESC
ENSG00000197448,2.1627416929269576,8.358641777317655e-41,H1ESC
ENSG00000139350,2.06915554202621,1.1776842647096996e-12,H1ESC
ENSG00000050405,3.1336512516876245,1.0137351351356271e-103,H1ESC
ENSG00000150347,7.232143735463829,4.004616412432996e-245,H1ESC
ENSG00000197415,2.3864483134374583,4.892447064365969e-16,H1ESC
ENSG00000162630,7.019769318964034,0.006138504190135804,H1ESC
ENSG00000042832,2.4209364645518763,0.0370099740529737,H1ESC
ENSG00000026508,8.005070843804157,0.0,H1ESC
ENSG00000251442,7.276324710880707,0.004529570908705384,H1ESC
ENSG00000135617,2.477972325107039,4.4698822250812274e-38,H1ESC
ENSG00000135919,2.1967606720732906,1.5522008939706102e-11,H1ESC
ENSG00000109079,2.680896770047094,1.8053407795127474e-75,H1ESC
ENSG00000051108,2.1700073328301626,1.3717562731382103e-53,H1ESC
ENSG00000171617,2.387133953634792,2.3645830317506893e-13,H1ESC
ENSG00000067798,5.112916752572037,3.246983076310202e-140,H1ESC
ENSG00000134531,8.59189566775895,1.1244504919777308e-118,H1ESC
ENSG00000136928,2.3942386651813568,1.7328401117002216e-07,H1ESC
ENSG00000188641,7.039734613742558,9.492699006124319e-82,H1ESC
ENSG00000087253,3.569552476545331,1.2287438697653128e-62,H1ESC
ENSG00000178878,4.162942509065991,6.2480497535697825e-40,H1ESC
ENSG00000196975,2.970879464814386,2.065100203204115e-82,H1ESC
ENSG00000110047,2.72392897243716,1.3045654981785216e-93,H1ESC
ENSG00000144642,3.6978329825296767,1.1822165611668864e-49,H1ESC
ENSG00000168374,2.2929760878215735,4.327721444120088e-58,H1ESC
ENSG00000079257,2.0387091066876457,6.757351331489021e-13,H1ESC
ENSG00000144810,6.012603143549759,1.0679540413342665e-42,H1ESC
ENSG00000031081,2.144113989469977,6.79702345297544e-58,H1ESC
ENSG00000162704,2.3473223911357786,3.030818276875154e-98,H1ESC
ENSG00000104324,4.288745667775437,5.6304563497372195e-68,H1ESC
ENSG00000233559,7.023499166561801,0.005983686997226224,H1ESC
ENSG00000124209,2.2253668600921155,2.526066331036317e-53,H1ESC
ENSG00000283154,2.160671159969544,2.8149148598242704e-18,H1ESC
ENSG00000285867,4.968364195793395,7.947621383602629e-20,H1ESC
ENSG00000231407,2.4748074142069356,0.017102144523235434,H1ESC
ENSG00000159082,2.6641774878798645,3.5982355518160486e-65,H1ESC
ENSG00000167720,2.4160245122462,2.0777246691985253e-22,H1ESC
ENSG00000038002,2.8612399157069275,6.965526132770125e-70,H1ESC
ENSG00000163565,7.204873883095761,2.046156011382247e-99,H1ESC
ENSG00000116729,4.775255234350238,6.08072877145756e-93,H1ESC
ENSG00000115963,4.718406370847976,1.3495111027897223e-131,H1ESC
ENSG00000165475,3.020688299386037,2.306447751801266e-27,H1ESC
ENSG00000139629,3.6248108323214483,2.657593793290604e-94,H1ESC
ENSG00000204540,3.4035196457504355,1.4843733465779918e-08,H1ESC
ENSG00000163513,4.234614245341699,1.5716390364759534e-84,H1ESC
ENSG00000178685,2.1437362557652504,2.6271038926242548e-06,H1ESC
ENSG00000155754,6.0499851702425245,0.015173198011681755,H1ESC
ENSG00000233117,5.538174517992496,0.02316494342570319,H1ESC
ENSG00000044090,2.365178216367551,8.934279528797089e-42,H1ESC
ENSG00000001461,4.226218807777545,2.5832282610362103e-78,H1ESC
ENSG00000104368,5.769243492586481,5.102184910161385e-65,H1ESC
ENSG00000135903,8.9062838477925,1.6730851202464715e-17,H1ESC
ENSG00000166710,3.884687310608743,2.132546537546004e-197,H1ESC
ENSG00000197496,2.3479419413113987,1.7690200145829076e-41,H1ESC
ENSG00000272142,2.1526404314625327,6.757171086613382e-08,H1ESC
ENSG00000153904,2.6758361122943364,3.097210853103659e-50,H1ESC
ENSG00000125945,2.811881977289218,6.742011798973421e-44,H1ESC
ENSG00000134259,7.052501921124344,4.898580825931727e-47,H1ESC
ENSG00000105339,3.310839104376095,3.975678803387607e-28,H1ESC
ENSG00000171150,2.9133191745632803,3.591978260820357e-125,H1ESC
ENSG00000204217,2.4370425639720876,4.186846008208053e-84,H1ESC
ENSG00000246273,3.0161405462365205,1.2106678864300965e-16,H1ESC
ENSG00000088256,2.481945715705511,1.5314939602096248e-87,H1ESC
ENSG00000167555,5.545569451497796,3.0127955671101825e-23,H1ESC
ENSG00000049239,2.5244451375444275,1.059889448808447e-53,H1ESC
ENSG00000082482,6.510016932248634,8.543431339528528e-83,H1ESC
ENSG00000164916,2.7296950531466613,8.006666385725936e-108,H1ESC
ENSG00000188596,2.1850821013373,0.017723254018750082,H1ESC
ENSG00000113805,6.620081150609279,5.318965449288205e-57,H1ESC
ENSG00000164081,2.4381562311762797,2.6553404860848046e-34,H1ESC
ENSG00000116704,3.353423232586797,3.845231435654351e-102,H1ESC
ENSG00000128655,3.934784432439751,2.624835145188478e-10,H1ESC
ENSG00000110092,3.8273333592267993,4.944552047830637e-72,H1ESC
ENSG00000224597,10.360077791902663,8.553645886089217e-13,H1ESC
ENSG00000182329,6.084869227871791,0.015241873695229186,H1ESC
ENSG00000172965,2.888499659509223,2.355660077737792e-44,H1ESC
ENSG00000142552,3.663028218603613,4.687372608577416e-22,H1ESC
ENSG00000128606,2.9004936783284974,0.0014580721388956393,H1ESC
ENSG00000150093,2.7420967777658585,4.955765518196206e-139,H1ESC
ENSG00000156150,6.591546087032247,2.651902458227607e-09,H1ESC
ENSG00000135862,2.587795848658401,1.319718896923332e-83,H1ESC
ENSG00000242247,2.644455638970397,2.3803775648740167e-84,H1ESC
ENSG00000122042,2.0741731367769316,8.911471232113001e-26,H1ESC
ENSG00000164619,4.362216349592762,2.7863910088842992e-45,H1ESC
ENSG00000153113,3.1549847944319356,3.8509985385983606e-99,H1ESC
ENSG00000101346,2.0421454493654556,4.439170959276751e-74,H1ESC
ENSG00000143164,2.1636659648072625,2.464606079811136e-71,H1ESC
ENSG00000166401,6.228554277482112,9.10356144366224e-88,H1ESC
ENSG00000237773,2.241102659654213,0.004642917906312754,H1ESC
ENSG00000185129,3.2205547751900423,3.1525555213544383e-79,H1ESC
ENSG00000181751,2.7133601294920555,3.7308100886932327e-59,H1ESC
ENSG00000166888,2.4082561061525953,4.548569800215199e-78,H1ESC
ENSG00000137076,2.757371536977625,1.8094910423199096e-150,H1ESC
ENSG00000145349,3.7637405697398547,5.654573395361473e-125,H1ESC
ENSG00000226571,6.5473975312034645,0.009700265639353948,H1ESC
ENSG00000181789,2.033749458604808,1.9801568734675783e-42,H1ESC
ENSG00000143753,2.1601297028523807,2.385815871785224e-39,H1ESC
ENSG00000169213,2.481915184236584,1.4540485447942578e-95,H1ESC
ENSG00000162746,4.474890387839219,1.3981492817994214e-16,H1ESC
ENSG00000115902,5.3012024864234535,9.13493232146451e-58,H1ESC
ENSG00000085063,3.8591835029568813,2.043853293993907e-113,H1ESC
ENSG00000151135,4.16415597109575,1.840404940071246e-138,H1ESC
ENSG00000107738,8.46370798730999,8.297104128745235e-30,H1ESC
ENSG00000250305,5.738474880462305,3.544353008360332e-61,H1ESC
ENSG00000042445,2.204880015817308,4.7444174461904437e-32,H1ESC
ENSG00000106153,2.3000430243384247,7.331149052172341e-89,H1ESC
